full_text,label
"@RealQueenSimran Madam,Bahut sochsamajhkr Mai ESS tarq pe purey42mahino mei pahucha hoon k Asli wajah ""MUSLIM Hatred""hai Jo kabi,Partition,RamTemple,GauMata,BharatMaataKiJai, VandeMatram, Raastragan, Pak Premi,Gaddaar,Bachche jyada ,5Bibiya25Bachche k safar tai karte Huey TAJMAHAL p jake atka hai",Normal Speech
@Mk6401 @Anjupra7743 @RoflRavish @ModiLeDubega @kiran_patniak @DubeyAbhay_ @S_aryan_Arya @EkAkel Jis country me sab se kam rape hote hn wahan ka qanoon laagu hona chahiye india me. Tabhi in darindo ka kuch ilaaj ho sakta hai.,Normal Speech
@yadavakhilesh Har election ke pahiley Janta ke samne kuch tukde fenk diye hate hain,Normal Speech
"@Atheist_Krishna Bhai movie nai Dekhi par Sanjay Leela ko jaante hai, aapko agar pata hota kei ye Saab raajput se nafrat kyu krte hai or ek baar nai ye apni kai filmo me raajput o ko nicha dikhane ka koi moka nai chodte. To aap ye bakwaas nai krte",Normal Speech
@MimiSayani01 @aliaa08 @S1dharthM @Team_SidharthM @mohit11481 Aayega jab take alia ki shaadi age pass aayegi kyuki alia said 30ki hoote hi won shaadi kargi varun bhi kitna kutta hai Natasha ka shaadi ka spna this alia ke saath shaadi ki baat paaki kar ki hate varun alia sid please career pe focus karo aue alia ke banner se film mat karo,Hate Speech
@justchill86 @SeemaSwati262 @madmadyk I am very sorry to say saaf dil shilpa ke fans hiten ke dil mein kya hai woh bhi samjhte hain hadh hoti hai nafrat ki bhi,Normal Speech
I am Muhajir .. Aur mere lye sab se Pehly Pakistan he .. agr 10 lakh Altaf Jese leaders bh is zameen ki behurmati kren un sbko sar e aam phansi Deni chahye .. Proud to be a #Muhajir and #Pakistani,Normal Speech
Hate it jab test ata ho phr bh acha na ho -.-,Hate Speech
Bandagi k aankhu se khun k aansu kya aankh phod k khun hi Nikal do... I hate this bitch.. 😑 #bb11,Hate Speech
@TheKhabari2 I hate shilpa...Ye jo dikhti hain na woo nahi hain..every time simpathi leti hain Salman Khan se..,Hate Speech
"@drshrishyoga @SahilThoughts_ Doctor 👨‍⚕️ sab sahi me ke PhD (in hate politics) wale. Bhai padhe likhe ho fir kyu ye sab baate karte ho. Tum bas bowling 🎳 khelo, aur maje lo. https://t.co/fk1qUbQstw",Normal Speech
@Bigg_Boss__ Hina  such a diplomatic  drama queen..khud aag lagati Hai baad me dusro ka naam leti Hai..hate u,Hate Speech
@ashokepandit Ek dil ek jaan akal ke imitihaan kal KP ke rape aur sawing between two legs after rape honge justified due to cinematic liberty aaj toh Rajput ki ho gayi shaan urdu ki gulaam,Normal Speech
@Rahulpandey_drf @SirRavishKumar Jis par nitiyo he wahi janta he ye media bhenchod rape rape chillata he sach kutch or hota he isiliye.Aropi ladki jhute fasa deti he 95%forg,Hate Speech
@HinaKhanArmy2 @ansaran13740764 @SameerNarayanPa Oooo hello jo bhi serial dekhke hina ke fan the wo sab log aaj hina ho hate karne lage he 60% log ab samaj lo tum hi.n salmanji ne bhi aaj hina ki bajai lagta he dekha nahi he. Kutti he hina,Normal Speech
@SirRavishKumar Pata nahi log kyun rape karte he farziwal ke sarkar me har 1 km par spa khula he aap bhi add kar do rape kam hi jayenge,Normal Speech
"@SarwarANaqvi Karachi say agencies panjabi, pathano ko qatal kerkay onki lashain gaoon bhaijti hain takey mohajiro kaykhilaf nafrat paida ho",Hate Speech
@SristiJhunjhun1 @ColorsTV @eyehinakhan lol true kuy ki uski jo awwam haina jo is duniya se bhaar jaha se jaadu aaya tha vha ke log aise krte hai aur khud buddhi hai aur dusro ko bolti kitna makeup krti hai khud asli pic dekh legi na jiss deen khud se nafrat krne lagi arshi,Hate Speech
India wale sab arshi ko hate karte h,Normal Speech
@mahwashajaz_  tumre yaha aise khule aamm murder hote hai kya? https://t.co/pStoRtuhme,Normal Speech
@ranveersfan23 @iShahBir bhai isko idhar chod aur nikal..iska movie aane de..tab dekhta hoo isko..saale sab milke hate trend karre hai..God bless them,Hate Speech
@11_Bigboss Arshe jaisii Gandi tho nahi hai hina...we love hina we hate Arshi n Akash,Hate Speech
@HansaPTI Bhutto Sb juke nahi phansi char gaye...Niazi se kaho mafi nama wapis le kar phansi char jaye phir maanoo or gande message bi chorne pare ge,Normal Speech
@rockyandmayur @RaisinaSeries Thank You Gud night.Mere kaan se khoon nikal raha hai.,Normal Speech
Sir ji ab ye possible nahi hai bahut nafrat hai dono or ab ek hi rasta hai sarhad ke lakir ko mita kar hi ye khatam ho sakta hai jinna sahab to mar gaye or neharu ji bhi ab fir se ek kartay hai dono mulk ko @chintskap akhand bharat ek bharat https://t.co/2Mv6cfVffc,Normal Speech
@SirRavishKumar Saheb 60 sal.Kyabhutta. bun rahe tha or. Kabhi cort nahi gaye ho pahle pata karo rape ke 95%case forge hote he tum jaise media kanon banwaya,Normal Speech
#Narendra modi u r a hopeless PM... Apne garib ko maar daala...... I hate u.... Sirf aap bol bacchan dete ho karte kuch bhi nhi...... U r fake person,Hate Speech
@befikra345 @mahwashajaz_ @XilleIlahi Acha tou un per quota system laga? Ya unko punjab say baher nikala jaisay mohajiron ko nikala intr sindh say? Unki industry nationalise hoi? Unko punjabion nay nafrat say pukra jaisay sindhi pukarty thy? Punjab ny unko qabool kia lakin sindhi ny hum ko nahi qabol kia,Normal Speech
"@ZeeNewsHindi Is MC ko Bharat mein la kar phansi dena hai!! Kya  kar rhi BJP sarkar, parliament mein phle Pakistan  ko Atankwadi desh to ghosit kare e.",Normal Speech
"Punjabion ne Punjabion ko maara. Isliye nahi jataya aap ne. Kisi ne nahin kaha tha apne hi zaat paat muhallay ki aurton ka rape karo, kisi ne nahin kaha tha aik doosre ke talwaaron se shaheed kar do. Ab is main koi aur kia kare jo Punjabion ne khud aik doosre ke saath kia? https://t.co/w4H4p4i7UA",Normal Speech
"@Wikoo_KhAn @SMMuteeb @SyedHaider9087 @Babar_Sattar Ladla wo hay jo fard jurm kay bad bhi girftar nahi hota, money trail nahi deta aur saza nahi milti, 14 murder karta hay aur phansi nahi lagti.",Normal Speech
@ColorsTV I hate this Sapna so much 😤 itna ghamand kisliye bhai?,Hate Speech
"@SanjayS04347999 @RoflRavish Ravish SACHCHA suchcha journalist hai. AUR BJP KO SACHCHE, IMAANDAARI AUR BUDHDHIJEEVI, INTELLIGENT AUR ACHHE LOGON SE NAFRAT HAI. EXTRA ORDINARY LOUD VOICE AUR ZEHREELE SHABD ISTEMAAL KARENGE.HAR WAQT GUSSIE ME RAHENGE.YE KYA SANSKAAR,LARISA CULTURE HAI.BURE LOG. BURI SOC.",Normal Speech
"@_BiggBoss11_ Hina apni galti manane ko tayar hi nahi hoti.wo hai kya ki usko itna ghamand hai,sabko bolti hai ye mera class nahi,fake lady,arshi bahut acchi hai is heena se,I hate her",Hate Speech
@pramodkumarahuj @ThePareshRawal @pooran775 Haan hm tilak dekr chhod dete hain jalate nahin hain orton ko ya kisi baba ko rape krne ke liye nahin dete hain,Normal Speech
Mai bahut respect kar Tha @deepikapadukone ko Dilwale k phele Tak jab usne  #ChallengeAccepted ka tweet dala tabse aj tak hate h hate krta Hun aur karta Rahunga (Kismat badi kutti cheez hai saali kabhi bhi palat jaati hai) Kabhi nhi bholunga jab Tak h jan😂,Normal Speech
"@ZeeNews @sudhirchaudhary @vidya_balan Sabhi jagah to media wale nafrat or jhgde to faila hi rhe hai ,ab logo k ghar me v suru ho gye",Normal Speech
@BeingSalmanKhan I hate ppl wen dey call him bhai jabki vo feeling hoti hi nahi hai,Normal Speech
Agar isse love kehte toh hum jo karte usse kya hate? 🙂🙂 @ChawalaRiya @Yashika12_K9 https://t.co/BOvRgHtk0G,Normal Speech
@IndianHuIndian @tufailelif mujhe to dono se hi nafrat he. par BJP se mujhe itni nafrat he Zindagi me ise vote nhi dunga. kyonki ye party vote ke laayak hi nhi he.,Hate Speech
@BiggBossNewz Abe bigg boss show me baki contestants bhi hai un se related news deta nhi...sirf sari updates hina se related deta hai...wo bhi hate wali...khabari hai bakri chabar chabar karta rehta hina k bare me,Normal Speech
apne personal hatred k liye srk ka nam badnam kr rhe hai chutiye...bhakts ko support kaise kr sakta hai koi lolll,Normal Speech
"@yugpurushg Sarkar banne ke bad Hindu hit me ek bhi faisla Jo bjp ke dwara liya gaya ho,bjp ko  gay,gobar,mandir,masjid aur nafrat faila kar vot chahiye",Hate Speech
Badi ummide lagaye bethe hai apni maa ke murder ke khulase ka.hamare ander bhay hai . Thana fatehpur sikri ke imlaoda gaon ki daqeti murder ka,Normal Speech
@gregariousmona @RealshilpaBboss Are iski baat ur gadhe ki laat ek jesi h roj palti marti h...iska koi bharosa nhi...i hate her to much roj gand nikalti h shilpa k liye...ise bas hina pasand h,Hate Speech
@NavbharatTimes Varun khan?😂😂 ulti ganga🙏 hate speech @SanjayAzadSln @jigneshmevani80 @Shehla_Rashid @DrKumarVishwas @kanhaiyajnusu @ikamalhaasan @LambaAlka,Normal Speech
@NayakRagini @News18India 370 hate ya na hate abdullah india me hoke v pok pakistan ka batate hai aur tere jese 2 kodi ki congi chudail wahi kahegi jo congress karti ayi hai. tujhe v lagta hai halala ki aadat pad gyi hai islie esa bol rhi hai,Normal Speech
@RubikaLiyaquat @rehankhanrmp @ZeeNews Aap log kabhi America ki dalali karto kabhi nafrat,Normal Speech
@iamkamyapunjabi @SbSamanbutt @eyehinakhan @GAUAHAR_KHAN Ha kamyaji ye aapne sahi dekha hai esi hai wo.tabhi to sabhi use etna hate karte hai in se to swami om bhi achhe the yaar😂😂 #thooo hina khan haak thooooooooook,Hate Speech
@Vishal_ADreamer @jitupatwari Jab Pappu Khan saffron terrorism bolta hai tab Hinduoo ka apman nahi hota hai?  Chee papu khan kay Pidi?,Normal Speech
@bhadurali10 Dil to chahta ha Hitler ki tarha tamam HODs ko sammandar main lajakar kashti bumb maar da army,Normal Speech
@tumerabhaihai haan ! Congress ke rajya mein hota hi kya tha ..sirf ghotale scam rape mehangayi ..,Normal Speech
Vote for luv tyagi...  Aaj jo hua..  Uske baad he deserves to stay in bb house.... Such cruel punish and bandagi...  Is waqt vikas ne trimmer q nhi chhinna uske haath se...  I hate punish bandagi vikas shilpa...,Hate Speech
@sambhavnaseth mam apne Aaj bola sahi bola. But vikas bhi maze le raha tha. Waise Toh ladki Ko Moti bola usko bada problem ho raha tha. Aur Sab gandagi ne kiya hai but shilpa ne bhi Uski bhadas nikali hai sabpe. Uska hatred Aur uske sath jo bahr hua hai that has made shilpa.,Normal Speech
"@alee5386 I hate you so much aaaleee , tum chor kar mujhe so kaise Gaye??!??",Hate Speech
@MDihka @BiggBoss Hate u sooooooooooooo muuuuuuuuuuchhhhhh big boss gandgi faila rkhi h bndgi punish ne unhe kuchh nhi khoge hina pr chd jaoge,Hate Speech
@GAUAHAR_KHAN  @iamkamyapunjabi  why you guy have so me hate rate for someone kuch din ka biggboss hai khatam ho jaiga pr ap  logo k dil me apni jaga mat khoiye or @iamkamyapunjabi hina jo bhi or jaha se bhi aye hai pr ap kon ho ? https://t.co/DBdBJH6PIj,Normal Speech
@NitishKumar Good job magar dindharai rape murder Jo ho raha Hai bihar mai usko bhee dhayan rakhai Aap Twitter par pheknai sai kuch na hoga saheb crimes par control karai,Normal Speech
@JJROCKXX Yaha jo stupid haters log barking kar rhe are stupid log tum to kehto ho tum hina ke hater ho lekin mujhe jaha tak pta bai hum kiso ko hate karte hai to usske bare mai baat bhi karna pasand nhi karte lekin tumlog to 24*7 hina ke barre mai baat karte ho no matter hate comments,Normal Speech
@iamkamyapunjabi @eyehinakhan @GAUAHAR_KHAN I hate u Kamya... muje regret hota he ki me kabhi aapka fan tha... aapko insaaniyat naam ki koi chij hi nahi he aapne... I hate u Kamya...,Hate Speech
"@sambhavnaseth Toh vikas Ke samne when someone said kali where is he? Vikas bhi Boht galt hai Kuch chizo mein. Aur shilpa ka bhi ab woh pehle wala roop Nikal raha hai because Uske arshi Aur akash ne Darar dikh rahi hai. Aaj na shilpa gandagi Aur puneesh mein se nafrat, contin...",Normal Speech
@ShilpaT72863547 @Rose_Zander Chill yaar shilpaa...wo nahi samjhegi..😂 apna khoon math jala gulab k piche...Wo bas Akash PE taras kharahi aur kuch nai...calm down..,Normal Speech
Jab rape ho rahe hote hai tab nhi aate yai nautanki karne.. Tilak lagake.. Mera bharat mahan  .. https://t.co/pTkSAMxlw3,Normal Speech
Es army ka Maine bohat sath diya lekin Lahore attack k baad mujhe Es khusri army se nafrat ho gayi hai. Enkay pas atom nhi@OfficialDGISPR,Hate Speech
@90kPow @Hsy6ef aby randi ke bachy Rape ke kaam india main hote hain ... rapistan india ko bolte hain,Normal Speech
@AltafMk2 @ColorsTV @BiggBoss Sanchalk the to tum kese bol sakte Ho kisiko uth za bol k aaj tumari vzase Hari hey hina ki team I hate you vikas and Shilpa,Hate Speech
@NeelumNawab1 @_GhulamMustafa_ @AsadKharal # Hakumat Khud Dahshatgard hai Agents ko Pala hua hai Lootmaar Crime Murder se Maal Banarahe hain,Normal Speech
@BiggBossNewz agar puneesh aur bandagi kalkothri m jate hai toh murder 2 ban jayegi bigboss k ghar m,Normal Speech
@Ra_THORe @gauravcsawant ek bar phir 90s ki tarah fauj ke hath khol ke dekho India kya duniya se terrorism khatam kar degi #indianarmy.,Normal Speech
"@geeta_phogat @eyehinakhan @geeta_phogat Thank you so much for this, hater ka aur kio kaam nahin hain, Hina ke liye itna hate hain ke aankhen band kar ke dekhte hain.",Normal Speech
Bewakoof banakar khaayi me fek dete hai ...Use gaali dete hai ...use judge karte hai ..use hate karte hai toh woh bacha bohat sadme me din,Normal Speech
"@shazbkhanzdaGEO Marne ke liye sirf public hai, ye dono haramkhor ganje Bhaion ko is liye roka gaya taa ke Hamara mazeed khoon choos saken!!",Normal Speech
@Namansharrma Shilpa  ko  jese  show  se  nikal  ke faka  hai  wese  he  bb se  bhi  nikal  ke  fake  do  kuch  deserve  nahe  karte  wo I hate  Shilpa  shinde,Hate Speech
@bollywood_life Akash ki kya halat ki h ....aur wo bitch bandagi baar baar khoon k ansu khoon k ansu kr rahi h dikhe to nhi aansu...kisi k mirchi ankh mei jae to wo ankh nhi khol paega...bt wo thodi der mei khadi thi task mei waooo...,Normal Speech
@nitinrwt94 @doveeyeshashtag To khul ke bole pyar hai nafrat nhi... Game kiu khel raha hai,Normal Speech
@WavhalVaishnavi @RealVinduSingh Poora India yahi soch raha hai bro ki jhooti ko tv industry se laye hai ki dusre planet se hate her,Hate Speech
"Zillat ki jeet se behtar Izzat ki haar hai, Vikas Gupta ka kahna hai ke shilpa se sakht nafrat karte hai lekin aankh band kar ke support karte hai bhayya ye konsi nafrat hai... #BB11 @doveeyeshashtag",Hate Speech
@republic Bda chhuparustam nikla re rahul baba.. Ise kahte h deeye niche andhera ...desh ko dhoka.. Aankho me dhul jhonk rha thha.. Aaj pta chla ye saffron terror kyon kahta firta h. Dhokhebaj h aaul baba,Normal Speech
@srkthedon1k2 @luckyparinda @aman007boora @_sherni Isi wale muhammad aur allah ki ayesha ka rape kr rhe ...ayesha bachao bacho kr rhi,Normal Speech
@pawanrajesh1112 @KishwerM @BiggBoss Akash aur luv ke saath to boht galat Kiya but Hina ke saath wohi Kiya Jo usne Kiya the that's why I hate pungi,Hate Speech
@MyThoughtsOnBB Are nahi tag line was “Main Khoon Ke Aansu Royi Hu Kal”... khud ki galti or khud hi chilla rahi thi... #bb11,Normal Speech
@DunyaKKKS @pmln_org Hate speech cases sirf mojahiro pe Banty hae,Normal Speech
@luckyparinda @srkthedon1k2 @aman007boora @_sherni ayesha aur muhammad ka rape hi kaladhan hai,Normal Speech
@gauravcsawant ek bar phir 90s ki tarah fauj ke hath khol ke dekho India kya duniya se terrorism khatam kar degi #indianarmy.,Normal Speech
@GauravS84549289 @onlyshafaq @NitishKumar Wese bhi ye sanghi hijde shadi se zyada rape main vishwas rakhte to teri maa ki sari khol kar dekh khaki chadhhi pehni hogi lol hijde chakke,Normal Speech
"@ColorsTV @BiggBoss Abhi tk to main kisiko vote nahi kr rha tha par ab zarur larunga luv ko, aur jitne baal uske kate h gandagi aur peeley daat n kasam itni nafrat ho chuki h na, agr unhone itni limit tk jana tha toh saalo ko pehle hi ganja kr dete, kyun hina n apne baal kate?",Hate Speech
"@iamSinghaniya @BeingSalmanKhan Ekdam ekdam sahi bola....kehe nahi sakte shilpa or punish ka defend krte krte khud hi na shahid ho jay....""Aao shilpa Maa mujhse bhi khoon kardo plzz""😂😂",Normal Speech
"Aaj ka ep dekh k sahi me itna he khoon khol rha tha,Jis tarah se janwaro ki trh punish ne trimmer chalaya luv ko luckily khoon ni aya,hina n akash k sath jo kia insaniyat h he ni kya shilpa punish vikas bandagi me. #SHAME @BiggBoss @BeingSalmanKhan @eyehinakhan @TheLuvTyagi #BB11 https://t.co/fRSjndcffb",Normal Speech
@hassan1khl @JJROCKXX I hate heena too par bhai gali mat do,Normal Speech
@_BiggBoss11_ Hate @eyehinakhan . Trigger wahi karti hai.. Uske show me bhi chubti thi.. Or yaha bhi.,Hate Speech
I hate cigeratte lekin kbhi kbhar dil chahta hai k pe he lu.,Hate Speech
@TheKaranPatel  Yaar hadd ho gayi Karan Bua ki - iski subah SAAM Hina ke comments pe Hoti hai 😂😂 Aur baat kaisi karta hai - Hina KO koi fark Nahi padta - aur Tu Apna khoon jalan raha hai 😂😂 Aur aam janta see gaali bhi khaa Raha hai😂 hadd hai,Normal Speech
@TheHinaKhanFC @ali_aamir Do one thing yr sabse pehle @GAUAHAR_KHAN n @iamkamyapunjabi ko tag karo n dikhao unhe k kisi ko HATE krne me itna ANDHA hona achha nai h..kam se kam sach jaan k ZAHAR uglo. Inko khudka @lostboy54 n Arshi b us convo me the wo to inko dikhega nai bas HINA HINA kra lo inse #ajiblog,Normal Speech
@realvarunmohan @beingGavy @ColorsTV @eyehinakhan Nhi jayenge aur rahi baat #luv tyagi ki uski to vaat lagni wali hai .. #Fakina always hate u,Hate Speech
@Shahzad_0001 kabhi kabhi logon ki nafrat hi insan ki strength ka reason hota ha😊,Normal Speech
Ye Nafrat bhara programme band karo Ye Islam ko badnam karne ki kodhish hay,Normal Speech
"@AarohiShergil Yeah that's why I hate salman ,pichli baar bhi salman ne bahut bola tha Gaurav Chopra ko aur side manveer manu ki leta rehta tha",Hate Speech
"Ek ""khooni liberal"" ki ek buhat baray Leader say moaddabana guzarish. Aap liberals pe toh baras paray magar aap ke khoon kay piasay Khadim Rizvi aur Afzal Qadri say aap nay kufr kay fatway kay dar say is saal kay shoro main maafi maangli thi @ImranKhanPTI 
https://t.co/9Wu1vX27d3",Normal Speech
I HATE IT jab samny rakhi cheez na milay matlab abhi tou men ny yahan rakhi thi zameen kha gae kya,Hate Speech
"@Mitalishah121  @narendramodi
16  Dec 2014 (Nirbhaya Rape Case) ke Baad se Aaj se Delhi Mahilaao ke liye kitni Surakshit Hui hai ?",Normal Speech
@pujaparashar people are more important than their mistakes. Nafrat karna nahi aata. Hota hi nahi yaar. Aur Apno se toh bilkul nahi.,Normal Speech
@GauravS84549289 @onlyshafaq @NitishKumar Tu unhi ki.najyaz aulaad hoga teri amma ka rape karkar chod diya hoga warna hume to yahi confirm chakke hain hijde hain aur han gandu bhi he,Normal Speech
@Azd69 @sournsmart DHARNA DALWANAY KA LYA. JIS JUDGE NA MUMTAZ QADRI KO PHANSI KI SAZA DI US KO KUCH NAHIN OR GALIAN KIS KO,Normal Speech
"@GAUAHAR_KHAN @gauhar khan muje regret hota he ki mene season 7 me aapke liye votes kiye the aur aapka fan tha, but ab to aapne saari ijjat gava di ki ek hina k piche padi rehti ho.  Aapke paas koi kaam nahi He kya? Pura Dina hina k against tweet k bareme hi sochta ho? I hate u gauhar...",Hate Speech
10 Logon Ko Phansi Lag Jae To Corruption Khatam Hojae Gi.. Sheikh Rasheed... https://t.co/p4eHnp1ECM,Normal Speech
@swamibinod @ashish__tmg @Pooja_namobhakt Or vo bakri ka rape nhi karte Hai vo unki begam hi hoti hai,Normal Speech
@ThisIsVsAl @Boss_updates Ghatiya Gandagi Gairgujri Gulchharrey udaney walo ...Hatred Pungi,Normal Speech
"Apne family ko khoon ke aansoo rulane wali bathroom ja ja ke, khud  mirchi lagnese khoon ke aansoo nikalne lagi 😂😂😬 #BB11 #BiggBoss11 #BiggBoss",Normal Speech
@BenafshaSoona acha hua k aap bahar aa gyi wrna hmari ankho s to khoon ki nadiyaan bah rhi thi.. U were not played well ben.. Apne ghar m gandgi felai hai hina khan or priyank k sath milkr..,Normal Speech
Rishta Likhenge Hum Naya Chotti Thakurains chakarvyuh earns Ratans hatred… https://t.co/JNaTciqX6O #StarPlus #Colors,Normal Speech
@pbhushan1 ye dekho Prashant ko terror ka religion para chal Gaya. Sharam Karo.,Normal Speech
"@pramiladixit @sardanarohit madam aap ka chinta karna bilkul jayaj h, aap ke pati ek bahdur or nidar insan h, biswas rakhiye sir to bahut door ki baat h koi haat bhi nhi laga sakta h, phir aap bhi to ek hindu viragna ho, rani laxmibai rani durgabatti inka or aap ka khoon ek hi h,aap apne pati ki sakti ho,",Normal Speech
@JJROCKXX @geeta_phogat I hate heen khaan ye video Maine abhi dekha kuch galat nahi bolla usne kun itna bada issue bana rahe ho sab sach baat  bol rahi hai wo jo hum aur aap bhi bolte hai heena ke hater hone ka matlab ye nahi ki kisi bhi baat ka issue banao,Hate Speech
@SaurabhSagar Fake Hina besaram arshi ki sakal se hi nafrat ho gyi hme,Hate Speech
"@kashifmirza94 @RaqifMakhdoomi5 @AnilSha35304314 @taslimanasreen Tum logo ko dete hunge Paise. Tum logo ko humare mulk k baato me kyu itna interest hai? Ohh samajh gaya, tum logo k mulk me Ab kuch baat karne reh he nahi gaya hoga. Sab kuch terrorism se he shuru aur nahi khatm",Normal Speech
"@TheKaranPatel @GAUAHAR_KHAN @swetha_crazy @TheKaranPatel  aapke paas koi kaam nahi he? Pura din yahi sochte ho ki Hina k against kya tweet karu aaj? Aap kisi mitti k bane ho? Insaaniyat bhi nahi he aapme, really. Muje regret hota he ki me kabhi aapka fan tha.  Now I hate u karan, aap to Patel kahne k laayak bhi nahi.",Hate Speech
@TheGufranShaikh   😀😀kisse bol rahe ho bhakt ko bol kar hi laya gaya ye bhadwa kadyani take hatred fela sake but d Q y d ppl go to dis show,Normal Speech
"@ShamaJunejo @sadafaj Aaj kal khoon rare aata hai, due to unhealthy diet",Normal Speech
@a_w_aa_n zyada hogya hai rape se aagay nikal gayi hai aj kahani...,Normal Speech
@sardanarohit @aajtak Jo dharam ko chhupaye vo socho kya bhala kr skta h kisi ka..tbhi m socha ye saffron terror kyon kah rha h. Aaj itna pyar saffron se. Gandhi nhi gndi nali ki paidaish h.,Normal Speech
"@TahirulQadri Sir hukmaranon ko to kya kehna, Army ko bhee ab recharge k liey khoon chahiye ZIADA, AUR ZIADA",Normal Speech
Gauahar k FB pe Hina se kam followers hain .. sahi toh hai ... logo@ko sach batana achha lagta hai sun na nahi .. koi gali toh nahi di na... kuchh bewkoof aise react kar rahe hain jaise murder kar diya ho 😂 agar Hina inki chaplusi karti toh achha bolte,Normal Speech
