hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,175,2016,July,30,23,1,1,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,112.5,0,2,Check-Out,25-07-16
City Hotel,1,25,2017,May,22,30,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,229.0,,0,Transient-Party,90.0,0,0,Canceled,16-05-17
City Hotel,0,163,2016,April,15,9,2,5,1,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,73.37,0,1,Check-Out,16-04-16
City Hotel,1,127,2017,June,24,17,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,117.0,0,0,Canceled,17-03-17
City Hotel,1,142,2016,April,17,22,2,3,2,0.0,0,BB,POL,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,,0,Transient,103.0,0,0,Canceled,18-01-16
City Hotel,1,164,2017,January,3,20,1,2,1,0.0,0,BB,CHL,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,85.2,0,1,Canceled,17-12-16
City Hotel,0,6,2016,December,51,13,0,2,2,1.0,0,BB,DEU,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,131.0,1,1,Check-Out,15-12-16
Resort Hotel,0,13,2017,July,28,13,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,196.0,,0,Transient,160.0,0,0,Check-Out,14-07-17
City Hotel,0,32,2017,January,2,11,0,3,2,1.0,0,BB,HRV,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,2,Check-Out,14-01-17
Resort Hotel,1,92,2016,February,9,26,1,2,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,134.0,,0,Transient,79.0,0,0,Canceled,10-12-15
City Hotel,0,65,2016,March,14,28,1,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,96.3,1,0,Check-Out,31-03-16
City Hotel,1,295,2016,April,18,28,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,21-10-15
Resort Hotel,0,17,2016,February,6,2,0,2,1,0.0,0,HB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,67.0,0,0,Check-Out,04-02-16
City Hotel,1,155,2016,July,31,25,1,1,2,0.0,0,BB,ISR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,105.3,0,0,Canceled,19-07-16
City Hotel,0,197,2016,December,52,21,1,4,3,0.0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,3,No Deposit,3.0,,0,Transient-Party,160.6,0,0,Check-Out,26-12-16
City Hotel,0,115,2016,February,9,27,2,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,134.0,,0,Transient-Party,76.0,0,0,Check-Out,03-03-16
City Hotel,0,4,2016,September,37,6,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,,40.0,0,Transient,67.0,1,1,Check-Out,09-09-16
City Hotel,1,451,2016,May,21,16,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,60.0,0,0,Canceled,14-03-16
Resort Hotel,0,12,2016,April,15,9,2,2,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,26.0,,0,Transient,61.56,0,0,Check-Out,13-04-16
City Hotel,0,7,2016,May,21,21,1,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient-Party,112.0,0,1,Check-Out,23-05-16
City Hotel,0,223,2017,July,27,6,0,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42.0,,0,Transient,80.1,0,0,Check-Out,09-07-17
Resort Hotel,0,88,2017,April,17,29,2,1,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,171.0,,0,Transient,68.4,0,0,Check-Out,02-05-17
City Hotel,1,35,2016,May,20,13,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,138.0,,0,Transient,95.0,0,0,Canceled,13-04-16
Resort Hotel,0,190,2016,August,32,2,0,5,3,1.0,0,HB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,,,0,Transient,336.5,1,1,Check-Out,07-08-16
City Hotel,0,19,2016,April,18,29,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,106.65,0,1,Check-Out,03-05-16
City Hotel,1,298,2017,April,15,14,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,90.0,0,0,Canceled,03-04-17
City Hotel,0,35,2017,May,19,10,0,1,1,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,39.0,,0,Transient-Party,130.0,0,0,Check-Out,11-05-17
Resort Hotel,0,1,2015,November,45,3,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,48.0,0,0,Check-Out,05-11-15
Resort Hotel,1,245,2015,September,39,25,0,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,248.0,,0,Transient,80.0,0,0,Canceled,31-07-15
City Hotel,0,36,2017,May,22,31,0,3,2,0.0,0,SC,ARG,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,146.67,0,2,Check-Out,03-06-17
City Hotel,1,68,2016,May,20,10,0,3,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,121.5,0,0,Canceled,03-03-16
Resort Hotel,1,55,2017,June,24,16,2,5,1,1.0,0,HB,GBR,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240.0,,0,Transient,248.0,0,1,Canceled,22-04-17
City Hotel,0,276,2016,September,39,22,0,3,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,178,Transient-Party,116.33,0,0,Check-Out,25-09-16
City Hotel,1,16,2016,January,5,25,1,4,2,0.0,0,BB,MAR,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,,0,Transient-Party,77.25,0,0,Canceled,14-01-16
City Hotel,0,102,2016,July,28,8,2,6,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,99.0,0,1,Check-Out,16-07-16
City Hotel,0,26,2017,May,20,17,0,2,1,0.0,0,BB,CHL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,474.0,,0,Transient-Party,130.0,0,0,Check-Out,19-05-17
Resort Hotel,0,0,2015,August,35,23,1,0,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,153.0,0,0,Check-Out,24-08-15
City Hotel,0,35,2016,November,49,28,1,1,1,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,65.0,0,0,Check-Out,30-11-16
Resort Hotel,0,5,2016,March,11,8,0,2,1,0.0,0,BB,,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,94.0,0,Transient,27.0,1,0,Check-Out,10-03-16
City Hotel,0,17,2015,October,41,6,0,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,97.02,0,0,Check-Out,10-10-15
Resort Hotel,1,55,2016,December,49,2,0,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,314.0,,0,Transient,43.92,0,0,Canceled,21-11-16
Resort Hotel,0,46,2016,January,1,2,2,2,2,0.0,0,BB,UKR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,77.45,1,1,Check-Out,06-01-16
City Hotel,1,106,2016,November,45,4,1,2,2,0.0,0,HB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,124.2,0,0,Canceled,21-07-16
City Hotel,1,299,2015,August,33,12,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0,Canceled,02-07-15
City Hotel,0,98,2016,September,39,21,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,3,16,A,A,1,No Deposit,,40.0,0,Transient,65.0,0,0,Check-Out,22-09-16
City Hotel,0,70,2016,July,29,10,2,0,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,103.5,0,3,Check-Out,12-07-16
City Hotel,0,41,2016,May,22,28,1,1,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,131.4,0,1,Check-Out,30-05-16
City Hotel,1,97,2015,October,41,5,1,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,0,Transient,140.0,0,0,Canceled,03-07-15
City Hotel,0,0,2016,October,42,10,1,0,1,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,K,0,No Deposit,,,0,Transient,120.0,0,1,Check-Out,11-10-16
Resort Hotel,0,72,2017,April,15,14,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,,,0,Transient,89.14,1,1,Check-Out,21-04-17
Resort Hotel,0,72,2016,April,15,9,2,5,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,96.0,,0,Transient-Party,42.83,0,0,Check-Out,16-04-16
City Hotel,1,70,2017,February,9,26,2,5,2,1.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.07,0,3,No-Show,26-02-17
City Hotel,0,56,2016,November,47,14,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,75.0,0,0,Check-Out,17-11-16
City Hotel,0,83,2016,August,32,1,1,3,1,1.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,167.1,0,1,Check-Out,05-08-16
City Hotel,1,105,2017,March,11,13,1,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,56.0,,53,Transient,80.0,0,0,Canceled,20-01-17
City Hotel,1,135,2015,August,34,19,0,4,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,,0,Transient,55.08,0,0,Canceled,05-05-15
Resort Hotel,1,45,2016,March,14,28,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,96.0,0,0,No-Show,28-03-16
City Hotel,1,112,2016,March,10,3,0,3,2,0.0,0,SC,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,9.0,,0,Contract,84.3,0,2,Canceled,11-12-15
City Hotel,0,102,2015,October,42,16,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,109.0,0,0,Check-Out,18-10-15
City Hotel,1,12,2017,January,4,23,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,102.85,0,1,Canceled,16-01-17
City Hotel,1,304,2016,November,45,3,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21.0,,0,Transient,89.0,0,0,Canceled,01-02-16
City Hotel,0,165,2016,March,14,30,1,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,94.18,0,0,Check-Out,04-04-16
City Hotel,1,277,2016,November,46,7,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,04-04-16
City Hotel,0,4,2017,January,2,10,0,2,1,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,405.0,0,Transient-Party,70.0,0,0,Check-Out,12-01-17
Resort Hotel,0,123,2017,August,35,27,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,410.0,,0,Transient,118.5,0,0,Check-Out,31-08-17
City Hotel,1,8,2016,November,47,16,4,10,1,0.0,0,SC,AGO,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,90.79,0,0,Canceled,08-11-16
Resort Hotel,1,17,2017,August,35,31,0,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,207.0,0,2,Canceled,14-08-17
City Hotel,0,2,2016,December,52,18,2,0,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,106.5,1,1,Check-Out,20-12-16
Resort Hotel,0,45,2016,February,10,28,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,,0,Transient,55.35,0,2,Check-Out,06-03-16
City Hotel,0,0,2016,July,30,19,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,139.0,0,0,Check-Out,20-07-16
Resort Hotel,0,52,2017,July,26,1,4,6,2,0.0,0,Undefined,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,531.0,,0,Transient,179.0,0,2,Check-Out,11-07-17
City Hotel,1,12,2016,February,6,6,0,1,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,109.0,0,0,Canceled,02-02-16
City Hotel,0,43,2016,November,46,12,2,1,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,92.4,0,1,Check-Out,15-11-16
City Hotel,0,3,2016,August,33,13,0,1,1,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,168.0,0,2,Check-Out,14-08-16
Resort Hotel,1,269,2017,May,21,24,2,4,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,89.25,0,3,Canceled,01-09-16
City Hotel,1,187,2017,January,1,1,1,0,2,0.0,0,HB,RUS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,137.7,0,3,Canceled,19-11-16
Resort Hotel,1,83,2016,April,17,22,2,5,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,D,D,0,Non Refund,71.0,,0,Transient,58.0,0,0,Canceled,22-02-16
City Hotel,1,241,2017,March,10,9,0,3,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,0,Canceled,21-11-16
City Hotel,0,5,2017,August,34,24,1,3,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,203.5,0,0,Check-Out,28-08-17
City Hotel,0,205,2016,October,43,20,0,3,1,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,95.5,0,1,Check-Out,23-10-16
City Hotel,0,44,2016,October,41,5,0,1,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,108.0,0,0,Check-Out,06-10-16
Resort Hotel,0,2,2016,July,29,14,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,150.0,0,1,Check-Out,15-07-16
City Hotel,0,0,2015,October,42,15,0,0,0,0.0,0,BB,PRT,Direct,Direct,1,0,1,A,E,0,No Deposit,,,0,Transient,0.0,0,0,Check-Out,15-10-15
City Hotel,0,10,2016,September,36,1,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,118.0,,0,Transient-Party,95.0,0,1,Check-Out,02-09-16
City Hotel,0,6,2015,October,41,4,2,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Contract,136.0,0,1,Check-Out,07-10-15
City Hotel,0,198,2017,August,32,11,0,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,16.0,,0,Transient,80.1,0,0,Check-Out,13-08-17
City Hotel,0,5,2016,June,25,18,2,3,2,0.0,0,BB,BEL,Direct,Direct,0,0,0,D,E,0,No Deposit,14.0,,0,Transient,129.2,0,1,Check-Out,23-06-16
Resort Hotel,0,192,2016,July,30,21,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,143.0,,0,Transient,112.2,0,0,Check-Out,28-07-16
City Hotel,0,292,2016,July,30,21,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,0,Check-Out,23-07-16
City Hotel,0,3,2017,June,24,16,0,2,1,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,152.0,,0,Transient,106.28,0,0,Check-Out,18-06-17
City Hotel,1,19,2015,October,41,6,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,1,0,A,A,0,Non Refund,82.0,,0,Transient,80.0,0,0,Canceled,17-09-15
Resort Hotel,0,50,2015,September,38,17,0,1,2,0.0,0,BB,EST,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,111.0,1,2,Check-Out,18-09-15
City Hotel,0,150,2016,September,40,25,2,0,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,7.0,,0,Transient,91.48,0,1,Check-Out,27-09-16
City Hotel,0,4,2016,February,6,5,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,80.0,0,0,Check-Out,06-02-16
Resort Hotel,0,40,2015,August,33,10,1,4,2,0.0,0,BB,ARG,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,202.0,0,1,Check-Out,15-08-15
City Hotel,1,134,2015,December,49,4,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,91,Transient,65.0,0,0,Canceled,22-10-15
City Hotel,1,278,2015,July,30,22,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Contract,62.0,0,0,Canceled,01-01-15
Resort Hotel,0,60,2016,October,41,3,1,4,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient-Party,79.0,0,1,Check-Out,08-10-16
Resort Hotel,1,28,2016,January,2,9,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,56.0,0,1,Canceled,05-01-16
City Hotel,1,301,2016,November,47,18,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,20.0,,0,Transient,52.0,0,0,Canceled,15-03-16
City Hotel,0,10,2016,May,19,3,0,1,2,0.0,0,SC,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,58.0,0,1,Check-Out,04-05-16
City Hotel,1,275,2016,June,23,4,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,5.0,,69,Transient,62.8,0,0,Canceled,11-11-15
City Hotel,1,107,2015,December,51,18,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,55.63,0,0,Canceled,26-10-15
Resort Hotel,0,7,2015,December,49,2,0,1,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,6.0,,0,Transient-Party,8.0,0,1,Check-Out,03-12-15
Resort Hotel,0,2,2017,January,2,12,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,8,A,D,0,No Deposit,,154.0,0,Transient,35.0,0,0,Check-Out,13-01-17
City Hotel,1,45,2015,October,44,29,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,3.0,,0,Transient,70.0,0,0,Canceled,30-09-15
Resort Hotel,0,4,2016,March,11,12,0,1,3,0.0,1,BB,PRT,Offline TA/TO,TA/TO,0,0,0,C,C,0,No Deposit,196.0,,0,Transient,46.0,0,0,Check-Out,13-03-16
Resort Hotel,1,214,2017,May,18,5,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,54.0,0,0,Canceled,04-10-16
City Hotel,0,98,2016,February,9,25,2,4,2,0.0,0,BB,AUT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,50.33,0,0,Check-Out,02-03-16
City Hotel,1,177,2017,July,29,17,1,3,3,0.0,0,HB,ITA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,179.1,0,2,Canceled,19-05-17
City Hotel,0,132,2016,August,33,10,2,5,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,83.0,,0,Transient,96.56,0,1,Check-Out,17-08-16
City Hotel,0,126,2016,September,38,15,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,147.1,0,4,Check-Out,20-09-16
