hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,25,2016,October,41,5,0,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,149.0,0,1,Check-Out,2016-10-07
City Hotel,1,98,2016,June,23,2,0,3,2,2.0,0,BB,ITA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,198.9,0,0,Canceled,2016-02-25
City Hotel,0,36,2017,February,7,14,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,100.0,0,1,Check-Out,2017-02-15
City Hotel,1,82,2017,April,14,6,0,3,2,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,127.8,0,0,Canceled,2017-01-15
City Hotel,0,15,2016,October,42,13,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,0,Check-Out,2016-10-14
City Hotel,0,2,2017,January,3,19,0,3,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,83.0,,0,Transient,116.4,1,3,Check-Out,2017-01-22
City Hotel,1,305,2016,November,45,4,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21.0,,0,Transient,89.0,0,0,Canceled,2016-02-01
Resort Hotel,0,109,2017,January,2,12,2,6,2,0.0,0,BB,NLD,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,47.76,0,0,Check-Out,2017-01-20
Resort Hotel,0,37,2015,December,53,30,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,182.33,0,0,Check-Out,2016-01-02
City Hotel,0,122,2016,May,21,17,0,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,94.5,0,0,Check-Out,2016-05-20
Resort Hotel,0,0,2017,June,26,25,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,142.0,1,0,Check-Out,2017-06-26
City Hotel,0,175,2017,August,34,21,1,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,99.0,0,2,Check-Out,2017-08-24
Resort Hotel,1,99,2016,January,3,12,2,10,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.0,,0,Transient,41.4,0,0,Canceled,2015-10-28
Resort Hotel,0,94,2016,June,24,10,0,2,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,5,No Deposit,240.0,,0,Transient-Party,160.5,1,0,Check-Out,2016-06-12
City Hotel,0,77,2017,March,11,15,0,2,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,1,Check-Out,2017-03-17
Resort Hotel,1,134,2015,July,30,22,2,4,2,1.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,E,E,0,No Deposit,95.0,,0,Transient,149.06,0,0,Canceled,2015-06-29
City Hotel,0,7,2016,April,17,23,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,131.0,0,2,Check-Out,2016-04-25
City Hotel,1,175,2016,May,19,4,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,9.0,,0,Contract,117.0,0,1,Canceled,2016-01-04
City Hotel,0,174,2017,July,26,1,2,3,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,147.9,0,0,Check-Out,2017-07-06
Resort Hotel,1,41,2017,May,20,15,1,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,104.0,0,1,Canceled,2017-05-05
Resort Hotel,0,91,2016,April,17,20,0,1,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,251.0,,0,Transient-Party,59.0,0,1,Check-Out,2016-04-21
City Hotel,0,248,2016,October,42,13,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,7.0,,0,Transient,83.38,0,2,Check-Out,2016-10-18
City Hotel,0,3,2016,April,17,17,2,0,2,0.0,0,BB,EST,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,84.65,1,0,Check-Out,2016-04-19
Resort Hotel,1,92,2016,August,35,23,2,5,1,0.0,0,FB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,5.0,,0,Transient,175.34,0,0,Canceled,2016-06-15
Resort Hotel,0,0,2015,December,53,28,1,1,1,0.0,0,HB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,110.0,0,Transient-Party,40.0,0,0,Check-Out,2015-12-30
City Hotel,0,163,2016,October,41,2,2,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,168.0,,0,Transient-Party,80.75,0,0,Check-Out,2016-10-07
Resort Hotel,0,96,2017,June,23,4,2,5,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,,0,Transient,155.0,0,0,Check-Out,2017-06-11
Resort Hotel,0,48,2017,August,32,7,1,3,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26.0,,0,Transient-Party,214.84,0,0,Check-Out,2017-08-11
City Hotel,0,15,2016,November,47,19,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,105.0,0,1,Check-Out,2016-11-20
Resort Hotel,0,179,2016,July,29,10,4,7,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Transient-Party,104.55,0,3,Check-Out,2016-07-21
City Hotel,1,130,2017,April,16,21,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,286.0,,0,Transient,95.0,0,0,Canceled,2016-12-12
City Hotel,1,322,2016,May,21,19,1,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,31.0,,120,Transient,80.0,0,0,Canceled,2016-02-10
Resort Hotel,1,12,2016,March,13,23,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,242.0,,0,Transient,85.75,0,0,Canceled,2016-03-14
Resort Hotel,0,397,2016,September,39,21,0,4,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,96.0,,0,Transient-Party,70.5,0,1,Check-Out,2016-09-25
Resort Hotel,0,254,2015,September,37,12,2,2,2,0.0,0,BB,CN,Groups,TA/TO,0,0,0,A,A,1,No Deposit,15.0,,0,Transient-Party,36.0,0,0,Check-Out,2015-09-16
Resort Hotel,1,41,2015,August,33,9,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,172.0,0,2,Canceled,2015-07-17
City Hotel,1,0,2015,December,50,9,1,4,2,0.0,0,BB,PRT,Direct,Direct,1,0,0,A,D,0,No Deposit,,,0,Transient,95.0,0,0,Canceled,2015-12-09
City Hotel,0,26,2017,May,19,7,1,0,1,0.0,0,BB,NLD,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,149.0,0,0,Check-Out,2017-05-08
City Hotel,0,122,2017,May,21,27,1,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,12.0,,0,Transient-Party,104.0,0,0,Check-Out,2017-05-29
City Hotel,1,277,2016,November,46,7,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2016-04-04
Resort Hotel,1,32,2016,June,24,5,2,3,2,0.0,0,BB,ALB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,113.0,0,0,Canceled,2016-05-19
City Hotel,1,393,2017,April,16,22,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229.0,,0,Transient,90.0,0,0,Canceled,2016-04-17
City Hotel,1,117,2017,April,14,5,0,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,170.0,,0,Transient,93.5,0,0,Canceled,2016-12-09
Resort Hotel,0,2,2016,November,45,4,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,93.0,0,0,Check-Out,2016-11-06
Resort Hotel,0,184,2015,July,28,7,2,9,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,143.0,,0,Contract,110.5,0,0,Check-Out,2015-07-18
City Hotel,1,86,2016,January,4,22,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,29.0,,35,Transient,85.0,0,0,Canceled,2015-12-02
City Hotel,1,82,2016,February,6,2,0,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,21,Transient,96.0,0,0,Canceled,2015-12-03
City Hotel,1,0,2016,February,9,26,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,89.0,0,0,Canceled,2016-02-26
City Hotel,0,76,2016,July,29,16,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,A,0,No Deposit,14.0,,0,Transient,108.8,0,1,Check-Out,2016-07-17
City Hotel,1,155,2017,April,15,13,1,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,58.0,,0,Transient,130.0,0,0,Canceled,2017-04-05
City Hotel,0,4,2015,September,39,20,2,0,1,0.0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,75.0,,0,Transient,115.2,0,0,Check-Out,2015-09-22
